lhs_size,rhs_size,naive_time_us,fft_time_us
400,400,1895,424
400,400,1624,321
400,400,1625,387
400,400,1556,323
400,400,1917,444
400,400,1618,323
400,400,1626,322
400,400,1604,357
400,400,1666,321
400,400,1883,321
400,400,1607,336
400,400,1604,323
400,400,1594,323
400,400,1605,321
400,400,1681,324
400,400,2257,486
400,400,2107,324
400,400,1541,442
400,400,2647,513
400,400,1606,324
400,400,1631,331
400,400,1598,324
400,400,1586,321
400,400,1589,349
400,400,1724,325
400,400,1590,323
400,400,1586,319
400,400,1683,324
400,400,1596,323
400,400,1595,351
400,400,1561,325
400,400,1609,324
400,400,1645,319
400,400,1637,318
400,400,1688,381
400,400,1629,403
400,400,1648,323
400,400,2186,474
400,400,1586,320
400,400,1589,319
400,400,1583,327
400,400,1607,327
400,400,2306,460
400,400,1586,325
400,400,1615,320
400,400,1590,323
400,400,1593,321
400,400,1554,381
400,400,1589,323
400,400,1587,320
400,400,1596,325
400,400,1598,366
400,400,1556,356
400,400,1640,344
400,400,1677,385
400,400,1628,332
400,400,3583,461
400,400,1629,323
400,400,1594,393
400,400,1640,462
400,400,1629,353
400,400,1717,495
400,400,2054,323
400,400,1631,324
400,400,1643,321
400,400,1605,326
400,400,1635,325
400,400,1583,331
400,400,1555,373
400,400,1596,323
400,400,1952,330
400,400,1637,347
400,400,1609,338
400,400,1541,375
400,400,1636,322
400,400,2722,359
400,400,1596,322
400,400,1589,323
400,400,1595,337
400,400,1652,348
400,400,2075,398
400,400,1568,338
400,400,1564,373
400,400,2243,474
400,400,1599,336
400,400,1555,355
400,400,1905,370
400,400,2157,422
400,400,2188,500
400,400,1643,325
400,400,1585,354
400,400,1608,323
400,400,1791,529
400,400,1967,324
400,400,2214,330
400,400,1690,443
400,400,1593,325
400,400,1564,367
400,400,1602,326
400,400,1588,322
400,400,1540,381
400,400,1702,320
400,400,1580,317
400,400,1820,422
400,400,1622,322
400,400,2199,364
400,400,1583,318
400,400,1611,320
400,400,1540,399
400,400,1594,318
400,400,1587,323
400,400,1635,324
400,400,1587,323
400,400,1540,379
400,400,1620,322
400,400,1583,319
400,400,1591,319
400,400,1582,317
